code,fish,Tonnage2015,Tonnage2016,Tonnage2017,Tonnage2018,Tonnage2019,Value2015,Value2016,Value2017,Value2018,Value2019
Eyemouth,Whelks,8.34,184.12,225.48,182.80,58.79,5.93,169.92,241.99,199.47,67.37
Eyemouth,Other shellfish,4.47,10.36,99.21,25.83,9.85,11.10,38.46,111.35,27.47,28.73
Eyemouth,Total shellfish,1854.99,2154.51,2869.91,2993.80,2529.86,6308.02,7154.18,9559.19,10635.43,9422.56
Eyemouth,Total landings,2020.74,2252.88,2965.82,3021.33,2594.66,6504.89,7261.09,9685.90,10683.18,9533.93
Fraserburgh,Cod,349.37,481.26,1056.63,1002.26,566.94,620.40,944.97,2248.54,2074.75,1442.88
Fraserburgh,Dabs,4.64,7.02,11.29,12.11,25.40,1.85,2.75,4.62,6.35,10.29
Fraserburgh,Dogfish,73.88,100.46,102.36,77.54,72.48,18.44,25.90,26.15,21.98,19.14
Fraserburgh,Gurnards,224.83,192.66,183.11,196.77,237.98,89.36,77.53,79.26,84.58,109.75
Fraserburgh,Haddock,2291.03,2211.68,2277.33,3138.44,2126.44,2671.33,2087.94,2483.25,3058.01,2256.45
Fraserburgh,Hake,110.73,100.07,227.81,148.28,73.85,110.16,133.00,403.01,274.97,144.49
Fraserburgh,Halibut,4.96,21.09,38.37,43.24,42.72,39.74,132.32,278.49,321.29,308.82
Fraserburgh,Lemon sole,104.51,140.93,114.80,88.70,85.07,217.30,367.26,372.83,271.72,215.61
Fraserburgh,Ling,113.69,162.15,297.92,275.34,169.62,130.71,235.60,486.39,441.22,298.62
Fraserburgh,Megrims,106.18,109.11,106.11,103.51,76.21,250.86,283.13,298.96,299.70,210.91
Fraserburgh,Monkfish,1454.29,1598.95,1914.96,1874.14,1185.69,3118.12,4519.56,5942.60,6232.04,3875.25
Fraserburgh,Plaice,174.83,207.72,203.88,242.70,131.30,92.26,127.17,189.53,288.23,151.93
Fraserburgh,Saithe,350.41,315.14,732.07,808.03,396.98,299.57,306.90,713.08,666.98,421.35
Fraserburgh,Sandeels,0.00,0.00,0.00,317.12,97.98,0.00,0.00,0.00,38.05,25.33
Fraserburgh,Skates and rays,47.27,39.83,41.59,34.30,38.97,20.96,19.38,27.51,25.20,21.61
Fraserburgh,Whiting,1042.93,998.11,1155.94,1555.32,1204.42,908.05,920.38,1325.81,1573.02,1292.97
Fraserburgh,Witches,181.80,258.76,437.13,552.99,328.39,180.61,275.05,441.96,567.58,426.64
Fraserburgh,Other demersal,52.88,29.87,61.48,73.55,45.40,138.30,87.55,176.95,223.52,182.96
Fraserburgh,Total demersal,6688.23,6974.80,8962.77,10544.33,6905.82,8908.03,10546.36,15498.94,16469.21,11414.99
Fraserburgh,Mackerel,9773.32,9330.60,9318.88,7029.14,5502.89,6326.23,7780.16,8929.66,7051.99,6863.96
Fraserburgh,Other pelagic,82.05,1207.04,2226.06,4267.67,8.00,29.18,697.41,898.28,826.89,3.95
Fraserburgh,Total pelagic,9855.37,10537.64,11544.94,11296.81,5510.88,6355.42,8477.57,9827.94,7878.88,6867.91
Fraserburgh,Edible crabs,438.75,569.59,623.03,460.41,484.76,607.13,846.99,1087.98,1199.82,1280.65
Fraserburgh,Lobsters,35.25,38.31,35.77,34.61,35.42,364.00,484.17,476.36,499.96,546.61
Fraserburgh,Nephrops,2134.38,2943.28,4635.57,4253.08,6874.66,8231.66,12448.78,16593.47,13809.55,21112.45
Fraserburgh,Scallops,1039.16,1439.81,850.21,737.96,494.84,2010.11,3373.39,2295.56,1793.57,1157.60
Fraserburgh,Squid,220.34,391.74,568.62,507.22,694.86,798.28,1504.85,2308.91,2205.88,3091.43
Fraserburgh,Velvet crabs,31.03,47.72,49.67,51.06,74.69,53.66,79.30,118.90,133.05,161.12
Fraserburgh,Other shellfish,6.38,25.39,16.55,20.95,15.44,4.78,19.27,10.61,17.33,17.61
Fraserburgh,Total shellfish,3905.29,5455.84,6779.42,6065.29,8674.66,12069.62,18756.74,22891.79,19659.16,27367.48
Fraserburgh,Total landings,20448.90,22968.29,27287.13,27906.43,21091.37,27333.06,37780.68,48218.67,44007.25,45650.38
